file,title,arxiv_id,section,url,status
1606.04474.pdf,"Learning to Learn by Gradient Descent by Gradient Descent",1606.04474,Evolutionary & Open-Ended RSI,https://arxiv.org/abs/1606.04474,ok
2410.04444.pdf,"Gödel Agent: A Self-Referential Agent Framework for Recursive Self-Improvement",2410.04444,Harness-level RSI,https://arxiv.org/abs/2410.04444,ok
2003.03384.pdf,"AutoML-Zero: Evolving Machine Learning Algorithms From Scratch",2003.03384,Evolutionary & Open-Ended RSI,https://arxiv.org/abs/2003.03384,ok
1905.10985.pdf,"AI-GAs: AI-Generating Algorithms, an Alternate Paradigm for Producing General Artificial Intelligence",1905.10985,Evolutionary & Open-Ended RSI,https://arxiv.org/abs/1905.10985,ok
1504.04909.pdf,"Illuminating Search Spaces by Mapping Elites",1504.04909,Evolutionary & Open-Ended RSI,https://arxiv.org/abs/1504.04909,ok
1112.5309.pdf,"POWERPLAY: Training an Increasingly General Problem Solver by Continually Searching for the Simplest Still Unsolvable Problem",1112.5309,Evolutionary & Open-Ended RSI,https://arxiv.org/abs/1112.5309,ok
2310.03714.pdf,"DSPy: Compiling Declarative Language Model Calls into Self-Improving Pipelines",2310.03714,Harness-level RSI,https://arxiv.org/abs/2310.03714,ok
2406.07496.pdf,"TextGrad: Automatic ""Differentiation"" via Text",2406.07496,Harness-level RSI,https://arxiv.org/abs/2406.07496,ok
2309.03409.pdf,"Large Language Models as Optimizers",2309.03409,Harness-level RSI,https://arxiv.org/abs/2309.03409,ok
2309.16797.pdf,"Promptbreeder: Self-Referential Self-Improvement Via Prompt Evolution",2309.16797,Harness-level RSI,https://arxiv.org/abs/2309.16797,ok
2310.04406.pdf,"Language Agent Tree Search Unifies Reasoning, Acting, and Planning in Language Models",2310.04406,Harness-level RSI,https://arxiv.org/abs/2310.04406,ok
2303.17651.pdf,"Self-Refine: Iterative Refinement with Self-Feedback",2303.17651,Harness-level RSI,https://arxiv.org/abs/2303.17651,ok
2309.11495.pdf,"Chain-of-Verification Reduces Hallucination in Large Language Models",2309.11495,Harness-level RSI,https://arxiv.org/abs/2309.11495,ok
2305.11738.pdf,"CRITIC: Large Language Models Can Self-Correct with Tool-Interactive Critiquing",2305.11738,Harness-level RSI,https://arxiv.org/abs/2305.11738,ok
2203.11171.pdf,"Self-Consistency Improves Chain of Thought Reasoning in Language Models",2203.11171,Harness-level RSI,https://arxiv.org/abs/2203.11171,ok
2305.20050.pdf,"Let's Verify Step by Step",2305.20050,Harness-level RSI,https://arxiv.org/abs/2305.20050,ok
2310.01798.pdf,"Large Language Models Cannot Self-Correct Reasoning Yet",2310.01798,Harness-level RSI,https://arxiv.org/abs/2310.01798,ok
2303.11366.pdf,"Reflexion: Language Agents with Verbal Reinforcement Learning",2303.11366,Harness-level RSI,https://arxiv.org/abs/2303.11366,ok
2305.16291.pdf,"Voyager: An Open-Ended Embodied Agent with Large Language Models",2305.16291,Harness-level RSI,https://arxiv.org/abs/2305.16291,ok
2308.10144.pdf,"ExpeL: LLM Agents Are Experiential Learners",2308.10144,Harness-level RSI,https://arxiv.org/abs/2308.10144,ok
2502.12110.pdf,"A-MEM: Agentic Memory for LLM Agents",2502.12110,Harness-level RSI,https://arxiv.org/abs/2502.12110,ok
2305.10250.pdf,"MemoryBank: Enhancing Large Language Models with Long-Term Memory",2305.10250,Harness-level RSI,https://arxiv.org/abs/2305.10250,ok
2510.04618.pdf,"Agentic Context Engineering: Evolving Contexts for Self-Improving Language Models",2510.04618,Harness-level RSI,https://arxiv.org/abs/2510.04618,ok
2510.16079.pdf,"EvolveR: Self-Evolving LLM Agents through an Experience-Driven Lifecycle",2510.16079,Harness-level RSI,https://arxiv.org/abs/2510.16079,ok
2604.15097.pdf,"From Procedural Skills to Strategy Genes: Towards Experience-Driven Test-Time Evolution",2604.15097,Harness-level RSI,https://arxiv.org/abs/2604.15097,ok
